Date/Year,Day of Week,Total Flights,Flights_on_time,Flights_on_time_percentage,Flights_delayed,Flights_delayed_percentage,Flights_cancelled,Flights_cancelled_percentage
28-06-2013,Fri,19353,11580,60%,6859,35%,914,4.72%
29-06-2013,Sat,16582,11279,68%,4956,30%,347,2.09%
30-06-2013,Sun,17979,12436,69%,5193,29%,350,1.95%
01-07-2013,Mon,18306,12988,71%,4954,27%,364,1.99%
02-07-2013,Tue,18015,14137,78%,3747,21%,131,0.73%
03-07-2013,Wed,19031,13771,72%,5112,27%,148,0.78%
04-07-2013,Thu,13689,12117,89%,1479,11%,93,0.68%
05-07-2013,Fri,15904,13552,85%,2250,14%,102,0.64%
06-07-2013,Sat,16503,13459,82%,2556,15%,488,2.96%
07-07-2013,Sun,18566,13409,72%,4548,24%,609,3.28%
27-06-2014,Fri,17506,12638,72%,4705,27%,163,0.93%
28-06-2014,Sat,14806,11688,79%,3014,20%,104,0.70%
29-06-2014,Sun,16296,13464,83%,2720,17%,112,0.69%
30-06-2014,Mon,16917,12766,75%,3633,21%,518,3.06%
01-07-2014,Tue,16449,12739,77%,3414,21%,296,1.80%
02-07-2014,Wed,17035,12298,72%,4212,25%,525,3.08%
03-07-2014,Thu,17397,11566,66%,4787,28%,1044,6.00%
04-07-2014,Fri,12329,9925,81%,2164,18%,240,1.95%
05-07-2014,Sat,14160,12001,85%,2081,15%,78,0.55%
06-07-2014,Sun,16842,14015,83%,2737,16%,90,0.53%
26-06-2015,Fri,17474,12925,74%,4362,25%,187,1.07%
27-06-2015,Sat,14848,10611,71%,4048,27%,189,1.27%
28-06-2015,Sun,16466,12482,76%,3890,24%,94,0.57%
29-06-2015,Mon,17098,13921,81%,3075,18%,102,0.60%
30-06-2015,Tue,16644,12390,74%,4026,24%,228,1.37%
01-07-2015,Wed,16991,12240,72%,4534,27%,217,1.28%
02-07-2015,Thu,17437,13243,76%,4080,23%,114,0.65%
03-07-2015,Fri,14656,11969,82%,2626,18%,61,0.42%
04-07-2015,Sat,12634,11489,91%,1101,9%,44,0.35%
05-07-2015,Sun,16679,14137,85%,2468,15%,74,0.44%
01-07-2016,Fri,17050,12291,72%,4368,26%,391,2.29%
02-07-2016,Sat,14119,11295,80%,2698,19%,126,0.89%
03-07-2016,Sun,13355,11817,88%,1496,11%,42,0.31%
04-07-2016,Mon,13825,12259,89%,1527,11%,39,0.28%
05-07-2016,Tue,16783,12946,77%,3680,22%,157,0.94%
06-07-2016,Wed,16777,12051,72%,4619,28%,107,0.64%
07-07-2016,Thu,16849,13207,78%,3473,21%,169,1.00%
08-07-2016,Fri,16891,12479,74%,4069,24%,343,2.03%
09-07-2016,Sat,14429,11785,82%,2527,18%,117,0.81%
10-07-2016,Sun,16310,13478,83%,2765,17%,67,0.41%
01-07-2017,Sat,14607,10494,72%,3928,27%,185,1.27%
02-07-2017,Sun,14937,12802,86%,2059,14%,76,0.51%
03-07-2017,Mon,14414,12923,90%,1449,10%,42,0.29%
04-07-2017,Tue,14119,12833,91%,1251,9%,35,0.25%
05-07-2017,Wed,16682,13651,82%,2925,18%,106,0.64%
06-07-2017,Thu,16778,14196,85%,2484,15%,98,0.58%
07-07-2017,Fri,16822,12943,77%,3747,22%,132,0.78%
08-07-2017,Sat,14687,12120,83%,2508,17%,59,0.40%
09-07-2017,Sun,16712,14081,84%,2575,15%,56,0.34%
10-07-2017,Mon,17253,11531,67%,5245,30%,477,2.76%
29-06-2018,Fri,23861,19026,80%,4615,19%,220,0.92%
30-06-2018,Sat,20558,16878,82%,3580,17%,100,0.49%
01-07-2018,Sun,21795,17654,81%,3812,17%,329,1.51%
02-07-2018,Mon,21412,17654,82%,3487,16%,271,1.27%
