,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
2022,1616316,2023309,1916499,1666715,1493235,1533544,1502714,1449698,1693518,1449550,1125952,1231419,1541835,1728383,1403734,1379403,1699242,1301462,1201583,1471161,1514369,1241792,1648529,1397281,1059741,1198339,1555773,1632406,1070691,1714280,1537573,1200580,1192973,1339533,1577790,1399444,1785846,1591438,1232591,1386325,1782705,1914374,1534080,1815824,1731473,1479653,1656217,1977756,2241123,1826392,2067788,2215453,1780987,1752841,1980803,2098325,1840996,2145281,1979422,1635546,1738406,2038115,2132807,1830246,2180940,2017973,1644052,1844208,2184044,2297374,1990954,2288800,2200172,1858773,1993734,2221946,2308212,2099056,2366751,2158280,1856872,1962056,2234353,2290587,2009500,2307110,2131678,1736292,1887350,2196867,2271659,1913117,2204115,2139084,1848862,1978691,2216218,2318977,1946502,2293548,2181446,1883294,2040285,2337501,2311092,1894331,2214519,2288902,1979882,2027836,2279905,2293242,1826772,2293427,2182717,1863020,1996601,2258077,2275133,1877559,2263646,2136427,1764745,1953128,2234701,2279258,1869222,2248861,2231804,1900738,2025161,2327671,2352035,1979713,2395894,2278197,2036479,2097515,2348193,2346625,1988843,2350927,2329044,2020742,2147736,2379860,2384721,1994151,2096466,2312179,2108054,1999087,2213168,2332592,1981408,2387196,2279743,2052377,2155747,2371014,2364754,2085927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1192881,1327289,1080346,766594,665855,771734,772471,709444,886536,708177,520117,567401,803688,903039,690438,810654,878048,560190,542338,728978,755028,603527,838116,701709,468933,536935,750558,774688,617489,859039,628989,493338,618615,778065,868624,705951,854636,864783,617619,735009,1034514,1151420,900696,946458,967693,738825,773422,914823,1059452,942238,1115479,963280,714725,802230,1051149,1096348,917282,1190682,1049692,744812,826924,1107534,1168734,992406,1278557,1119303,825745,974221,1286894,1409771,1227484,1345284,1267345,1092548,1146539,1413141,1477841,1373259,1543136,1360290,1076453,1164954,1444744,1535156,1408198,1574228,1406234,1130520,1278113,1562239,1580785,1397958,1543474,1561959,1195306,1230939,1510829,1549181,1378237,1561495,1468972,1085034,1152703,1491435,1468218,1277815,1572383,1412500,1082443,1164099,1509649,1521393,1259724,1571220,1369410,1077199,1184326,1526681,1558553,1335535,1626962,1463672,1134103,1268938,1644050,1703267,1429657,1707805,1657722,1315493,1424664,1743515,1716561,1453267,1850531,1734541,1408017,1496089,1728496,1820433,1550044,1863697,1747353,1470840,1618169,1854534,1959593,1605810,1650454,1900170,1682752,1587910,1815931,1879885,1681192,1984658,1828396,1560561,1669537,1975189,2028961,1812797,2097433,1800954,1678688,1792370,2039425,2081115,1882381,2100761,2030577,1795141,1801329,2085327,2137584,1918705,2167380,2066964,1808306,1920663
2020,2178656,2422272,2210542,1806480,1815040,2034472,2072543,1687974,2183734,1992453,1691205,1876782,2242656,2347075,1781893,2000260,2298616,1870459,1801444,2100401,2145063,1645196,2136584,2004609,1643435,1777171,2085468,2159047,1658886,1948138,2054725,1677798,1843877,2167857,2271551,1770241,2224826,2164951,1814047,2038375,2415185,2507588,1972248,2198657,2494922,2190300,2129862,2358511,2429489,1951535,2380359,2267382,1919803,2075554,2364727,2441643,1949696,2353150,2089641,1736393,1877401,2130015,2198517,1844811,2119867,1909363,1617220,1702686,1788456,1714372,1485553,1519192,1257823,953699,779631,620883,593167,548132,454516,331431,279018,239234,203858,199644,184027,180002,154080,146348,136023,124021,129763,118302,122029,108310,97130,94931,104090,108977,93645,90510,102184,87534,90784,95085,106385,97236,105382,99344,92859,98968,111627,123464,114459,128875,119854,110913,119629,154695,171563,134261,170254,163692,130601,140409,190863,215444,169580,200815,215645,163205,176667,234928,250467,193340,253807,244176,190477,230367,318449,348673,253190,267451,340769,264843,261170,321776,327133,268867,352947,353261,267742,304436,391882,419675,353016,441255,430414,338382,386969,502209,519304,437119,544046,534528,417924,441829,576514,587908,507129,590456,607540,471421,494826,623624,632984,546310,633810,625235,500054,626516
2019,2345103,2202111,2150571,1975947,2229391,2044043,1733739,1739642,1955200,1959788,1604862,1970450,1886642,1605758,1786012,2139242,2271398,1600698,1776235,2179066,1804629,1763884,1991328,2052814,1571077,2010374,1862420,1534386,1593697,1938817,2078169,1591591,1792677,2001482,1655868,1756152,2064640,2134744,1648328,2105696,2055827,1620239,1950385,2227730,1922613,2147045,2476445,2177690,2022861,2351856,2415570,2331841,2274217,2197938,2160322,1861286,2015079,2307393,2257920,1979558,2143619,2402692,2543689,2156262,2485430,2378673,2122898,2187298,2503924,2634215,2274658,2545742,2465709,2177929,2320885,2513231,2559307,2227181,2542643,2434370,2151913,2273811,2487162,2538384,2172920,2510294,2360053,2026256,2151626,2411500,2476884,2011715,2462929,2384091,2091056,2229276,2487398,2590499,2059142,2446801,2484580,2208688,2317381,2616158,2457133,1988205,2356802,2594171,2227475,2254209,2526961,2521897,1990464,2506809,2412770,2102068,2256442,2499461,2546029,1968278,2512598,2470969,2106597,2270662,2555342,2602631,1985942,2419114,2512315,2191387,2343675,2611324,2664549,2091116,2620276,2615691,2312727,2472123,2673635,2792670,2124825,2070716,2512237,2453649,2269035,2485770,2570613,2117180,2555578,2499002,2247421,2370152,2623947,2649808,2225952,2669860,2644981,2433189,2509058,2675686,2727860,2318946,2642083,2699580,2466574,2552395,2728786,2772903,2378559,2719643,2716428,2506510,2594661,2711222,2730515,2368846,2632030,2455536,2347767,2547889
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
