Dates	Footfall Prediction 2022	2021	2020	2019
07-10	2383553	1987652	656284	2312178
07-09	2103499	2147903	711124	2716812
07-08	2429807	2027364	709653	2608209
07-07	2433582	1880160	632498	2515902
07-06	2243494	1889911	641761	2506859
07-05	2126975	2160147	755555	2748718
07-04	2420230	1681896	732123	2795369
07-03	2365742	1915017	466669	2345846
07-02	2130948	2196411	718988	2184253
07-01	2419097	2147090	764761	2088760
06-30	2407671	1920663	626516	2547889
06-29	2228771	1808306	500054	2347767
06-28	2140791	2066964	625235	2455536
06-27	2382662	2167380	633810	2632030
06-26	2351502	1918705	546310	2368846
06-25	2096978	2137584	632984	2730515
06-24	2389414	2085327	623624	2711222
06-23	2370014	1801329	494826	2594661
06-22	2216223	1795141	471421	2506510
06-21	2101160	2030577	607540	2716428
06-20	2328193	2100761	590456	2719643
06-30	2348044	1882381	507129	2378559
06-18	2082634	2081115	587908	2772903
06-17	2383810	2039425	576514	2728786
06-16	2362908	1792370	441829	2552395
06-15	2198063	1792370	441829	2552395
06-14	2079090	1678688	417924	2466574
06-13	2303434	1800954	534528	2699580
06-12	2352980	2097433	544046	2642083
06-11	2085927	1812797	437119	2318946
