Date	Footfall_count
01-01-2019	2345103
01-02-2019	2202111
01-03-2019	2150571
01-04-2019	1975947
01-05-2019	2229391
01-06-2019	2044043
01-07-2019	1733739
01-08-2019	1739642
01-09-2019	1955200
01-10-2019	1959788
01-11-2019	1604862
01-12-2019	1970450
01-13-2019	1886642
01-14-2019	1605758
01-15-2019	1786012
01-16-2019	2139242
01-17-2019	2271398
01-18-2019	1600698
01-19-2019	1776235
01-20-2019	2179066
01-21-2019	1804629
01-22-2019	1763884
01-23-2019	1991328
01-24-2019	2052814
01-25-2019	1571077
01-26-2019	2010374
01-27-2019	1862420
01-28-2019	1534386
01-29-2019	1593697
01-30-2019	1938817
01-31-2019	2078169
02-01-2019	1591591
02-02-2019	1792677
02-03-2019	2001482
02-04-2019	1655868
02-05-2019	1756152
02-06-2019	2064640
02-07-2019	2134744
02-08-2019	1648328
02-09-2019	2105696
02-10-2019	2055827
02-11-2019	1620239
02-12-2019	1950385
02-13-2019	2227730
02-14-2019	1922613
02-15-2019	2147045
02-16-2019	2476445
02-17-2019	2177690
02-18-2019	2022861
02-19-2019	2351856
02-20-2019	2415570
02-21-2019	2331841
02-22-2019	2274217
02-23-2019	2197938
02-24-2019	2160322
02-25-2019	1861286
02-26-2019	2015079
02-27-2019	2307393
02-28-2019	2257920
03-01-2019	1979558
03-02-2019	2143619
03-03-2019	2402692
03-04-2019	2543689
03-05-2019	2156262
03-06-2019	2485430
03-07-2019	2378673
03-08-2019	2122898
03-09-2019	2187298
03-10-2019	2503924
03-11-2019	2634215
03-12-2019	2274658
03-13-2019	2545742
03-14-2019	2465709
03-15-2019	2177929
03-16-2019	2320885
03-17-2019	2513231
03-18-2019	2559307
03-19-2019	2227181
03-20-2019	2542643
03-21-2019	2434370
03-22-2019	2151913
03-23-2019	2273811
03-24-2019	2487162
03-25-2019	2538384
03-26-2019	2172920
03-27-2019	2510294
03-28-2019	2360053
03-29-2019	2026256
03-30-2019	2151626
03-31-2019	2411500
04-01-2019	2476884
04-02-2019	2011715
04-03-2019	2462929
04-04-2019	2384091
04-05-2019	2091056
04-06-2019	2229276
04-07-2019	2487398
04-08-2019	2590499
04-09-2019	2059142
04-10-2019	2446801
04-11-2019	2484580
04-12-2019	2208688
04-13-2019	2317381
04-14-2019	2616158
04-15-2019	2457133
04-16-2019	1988205
04-17-2019	2356802
04-18-2019	2594171
04-19-2019	2227475
04-20-2019	2254209
04-21-2019	2526961
04-22-2019	2521897
04-23-2019	1990464
04-24-2019	2506809
04-25-2019	2412770
04-26-2019	2102068
04-27-2019	2256442
04-28-2019	2499461
04-29-2019	2546029
04-30-2019	1968278
05-01-2019	2512598
05-02-2019	2470969
05-03-2019	2106597
05-04-2019	2270662
05-05-2019	2555342
05-06-2019	2602631
05-07-2019	1985942
05-08-2019	2419114
05-09-2019	2512315
05-10-2019	2191387
05-11-2019	2343675
05-12-2019	2611324
05-13-2019	2664549
05-14-2019	2091116
05-15-2019	2620276
05-16-2019	2615691
05-17-2019	2312727
05-18-2019	2472123
05-19-2019	2673635
05-20-2019	2792670
05-21-2019	2124825
05-22-2019	2070716
05-23-2019	2512237
05-24-2019	2453649
05-25-2019	2269035
05-26-2019	2485770
05-27-2019	2570613
05-28-2019	2117180
