Future Dates for the Model,Footfall Prediction
2022-06-11,2085927
2022-06-12,2289974
2022-06-13,2339085
2022-06-14,2131468
2022-06-15,2140305
2022-06-16,2314797
2022-06-17,2301722
2022-06-18,2135495
2022-06-19,2241854
2022-06-20,2324839
2022-06-21,2183581
2022-06-22,2149401
2022-06-23,2276538
2022-06-24,2275544
2022-06-25,2159672
2022-06-26,2214668
2022-06-27,2295043
2022-06-28,2208381
2022-06-29,2161816
2022-06-30,2248971
2022-07-01,2259906
2022-07-02,2175671
2022-07-03,2199657
2022-07-04,2266651
2022-07-05,2217042
2022-07-06,2171561
2022-07-07,2228506
2022-07-08,2246400
2022-07-09,2186095
2022-07-10,2191635
