Future Dates for the Model,Footfall Prediction
2022-06-11,2085927
2022-06-12,2352980
2022-06-13,2303434
2022-06-14,2079090
2022-06-15,2198063
2022-06-16,2362908
2022-06-17,2383810
2022-06-18,2082634
2022-06-19,2348044
2022-06-20,2328193
2022-06-21,2101160
2022-06-22,2216223
2022-06-23,2370014
2022-06-24,2389414
2022-06-25,2096978
2022-06-26,2351502
2022-06-27,2382662
2022-06-28,2140791
2022-06-29,2228771
2022-06-30,2407671
2022-07-01,2419097
2022-07-02,2130948
2022-07-03,2365742
2022-07-04,2420230
2022-07-05,2126975
2022-07-06,2243494
2022-07-07,2433582
2022-07-08,2429807
2022-07-09,2103499
2022-07-10,2383553
